BeerName,BreweryName,BreweryRegion,BeerStyle,BeerStyleRank,BeerABV,BeerScore,BeerScoreRank,BeerAvg,BeerReviews,BeerRating,BeerWants,BeerGots,BeerNotes
Schmidt's And Giggles,Powderhaus Brewing Company,"Idaho, United States",Bock,Not Given,6.5,Not Given,Not Given,3.61,2,0,0,0,None
Burkhart,Schilling Beer Co.,"New Hampshire, United States",Bock,12,7.0,89,11387,4.07,2,11,0,0,"Burkhart is our interpretation of a strong German-style lager, a bockbier. This traditional style is characterized by a hearty and balanced malt profile and filled with notes of dark bread, toast and a kiss of toffee. Subtle hop bitterness balances the rich malts, and hints of roast and warmth are apparent. Lagered until beautifully round, this is a hearty beer for the late North Country fall."
In Bloom,Shep's Brewing Company,"New York, United States",Bock,Not Given,6.5,Not Given,Not Given,0.0,0,0,0,0,This is our spring bock beer that we start in January and lager till March. Dark colored lager with smooth chocolaty flavor.
Freiheit,Dogberry Brewing,"Ohio, United States",Bock,Not Given,5.3,Not Given,Not Given,4.4,1,1,0,0,None
Ammo Bocks,Bear Island Brewing Company,"Idaho, United States",Bock,Not Given,6.3,Not Given,Not Given,3.91,2,0,0,0,None
Hudepohl Festival Bock,Hudepohl-Schoenling Brewing Co.,"Ohio, United States",Bock,Not Given,6.5,82,Not Given,3.52,14,16,0,2,None
Bock,Claremont Craft Ales,"California, United States",Bock,Not Given,6.0,Not Given,Not Given,4.0,0,1,0,0,None
Bock,Ogle County Brewery,"Illinois, United States",Bock,Not Given,5.1,Not Given,Not Given,0.0,0,0,0,0,None
Steinbreaker,"Dempsey's Brewery, Restaurant & Pub","South Dakota, United States",Bock,Not Given,6.7,Not Given,Not Given,3.66,1,0,0,0,None
Winter Bock,Bloomer Brewing Co.,"Wisconsin, United States",Bock,Not Given,5.5,Not Given,Not Given,0.0,0,0,0,0,None
Bock,Kodiak Island Brewing Co.,"Alaska, United States",Bock,Not Given,6.2,Not Given,Not Given,0.0,0,0,0,0,None
Weihnachtsbier,Schilling Beer Co.,"New Hampshire, United States",Bock,Not Given,7.0,Not Given,Not Given,4.28,1,1,1,0,None
Indajani Bock,Cervecería Indajani,Mexico,Bock,Not Given,6.6,Not Given,Not Given,4.54,0,1,0,1,None
Bock,Chuckanut Brewery,"Washington, United States",Bock,Not Given,7.0,Not Given,Not Given,3.87,4,5,0,0,None
Glory is Goldenbock,Burial Beer Co.,"North Carolina, United States",Bock,Not Given,6.0,Not Given,Not Given,4.11,1,2,0,0,None
No Shock Bock,New Barons Brewing Co-Op,"Wisconsin, United States",Bock,Not Given,6.6,Not Given,Not Given,4.0,1,0,0,0,None
Frosty Goat,Against The Grain Brewery & Smokehouse,"Kentucky, United States",Bock,Not Given,7.1,Not Given,Not Given,0.0,0,0,0,0,None
Becksy's Winter Bock,Bierstadt Lagerhaus,"Colorado, United States",Bock,Not Given,6.0,Not Given,Not Given,3.96,1,1,0,0,None
Kickin' back Bock,Moriches Field Brewing Company,"New York, United States",Bock,Not Given,6.6,Not Given,Not Given,3.95,1,0,0,0,None
Baptism Of Wisdom,The Jolly Scholar,"Ohio, United States",Bock,Not Given,6.7,Not Given,Not Given,0.0,0,0,0,0,None
Goat Getter,11 Below Brewing,"Texas, United States",Bock,Not Given,6.2,Not Given,Not Given,3.8,1,3,0,0,None
Shubocka,Saucy Brew Works,"Ohio, United States",Bock,Not Given,6.5,Not Given,Not Given,4.0,0,1,0,0,"Strong malty lager brewed with Munich and Vienna malts, and a smattering of crisp noble hops."
Bart's Blues Sommer Bock Hell,Oskar Blues Grill & Brew,"Colorado, United States",Bock,Not Given,5.7,Not Given,Not Given,3.88,1,0,0,0,None
Blizzard Bock,Flying Bison Brewing Company,"New York, United States",Bock,52,6.5,84,24598,3.67,16,33,3,6,"This is a classic German-style dunkel bock. It has rich, toasty malt flavor with hints of soft chocolate. The German-style hop varieties are subdued to allow the malts to star in this satisfying beer. It got us through last winter, it can get you through anything. 21 IBU"
Bock-A-Fella,The Common Beer Company,"Ohio, United States",Bock,Not Given,7.3,Not Given,Not Given,0.0,0,0,0,0,None
Lunch Bocks,HopFusion Ale Works,"Texas, United States",Bock,Not Given,5.0,Not Given,Not Given,0.0,0,0,0,0,None
BigFoot Bock,Expedition Brewing Co.,"Ontario, Canada",Bock,Not Given,6.2,Not Given,Not Given,3.8,1,0,0,0,None
Munich Bock,Von Ebert Brewing,"Oregon, United States",Bock,Not Given,4.8,Not Given,Not Given,0.0,0,0,0,0,None
German Kiss,Birrificio Artigianale The Wall,Italy,Bock,Not Given,6.2,Not Given,Not Given,3.48,0,2,0,1,None
4 Oars of the Abockalypse,Sky High Brewing,"Oregon, United States",Bock,Not Given,5.8,Not Given,Not Given,0.0,0,0,0,0,None
M-bier Herfst Bock,Brouw-atelier Melessen,Netherlands,Bock,Not Given,4.9,Not Given,Not Given,3.26,0,1,0,0,None
Nordic Bock,Õllenaut OÜ,Estonia,Bock,Not Given,6.9,Not Given,Not Given,3.75,0,1,0,0,None
Brugse Bok,Huisbrouwerij De Halve Maan,Belgium,Bock,68,6.5,83,25684,3.6,9,23,3,11,None
Beer For Burgers,Off Color Brewing,"Illinois, United States",Bock,19,7.0,88,14956,3.94,10,13,1,0,"Helles Bock style beer blended with Bourbon barrel aged lager.MALTS: Pils, Vienna, MunichHOPS: Magnum, Hersbrucker"
Berliner Kindl Bock Dunkel,Berliner Kindl Brauerei,Germany,Bock,56,7.0,84,24647,3.64,13,15,4,2,None
Herfstbok,Brouwerij De Prael,Netherlands,Bock,81,7.7,81,27553,3.4,6,12,1,0,Formerly Nelis
Bock Party,State 48 Brewery,"Arizona, United States",Bock,Not Given,6.5,Not Given,Not Given,3.54,1,0,0,0,None
Totes Magotes Toasted Bock,Gideon's Brewing Company,"North Dakota, United States",Bock,Not Given,5.0,Not Given,Not Given,3.75,0,1,0,0,None
Spelt Bock,Southern Strain Brewing Company,"North Carolina, United States",Bock,Not Given,6.2,Not Given,Not Given,3.69,0,1,0,0,None
Thumbprint Mocha Berry Bock,New Glarus Brewing Company,"Wisconsin, United States",Bock,14,0.0,88,14021,3.96,13,16,0,0,"We gathered summer’s forest berries to drench in silky chocolate decadence. Rich Wisconsin and Czech malts elevate mocha caramel chocolate notes while German and American hops support the bright berry goodness of this strong Bock. You hold in your hand Mocha Berry Bock, the magical alchemy of Brewmaster Dan Carey. A collision of chocolate malts and raspberry resulting in an unexpected symphony of tasty goodness."
Bocktoberfest,True West Brewing Co,"Massachusetts, United States",Bock,Not Given,5.7,Not Given,Not Given,3.97,0,1,0,0,None
Dunkler Bock,Privatbrauerei Gessner,Germany,Bock,Not Given,6.8,Not Given,Not Given,3.78,4,4,0,0,None
Moon Bocket,Columbus House Brewery,"Arkansas, United States",Bock,Not Given,5.6,Not Given,Not Given,0.0,0,0,0,0,This beer is a fun experiment in the role yeast play in flavor and aroma. Our twist on the traditional German style is a lagered version of our Nutty Runner Nut Brown Ale (with a few malt modifications) come taste these 2 side by side and see if you can pick out the yeast differences!
Holsten Festbock,Holsten-Brauerei,Germany,Bock,91,7.0,77,29390,3.31,81,51,4,11,None
Wondrous Bock,Wondrous Brewing Company,"California, United States",Bock,Not Given,6.5,Not Given,Not Given,3.97,0,2,0,0,"Technical lager brewing has been the vision for Wondrous since the very beginning. As we further explore the depths of lager beers, we decided to brew our first classic style Bock beer to honor the changing of seasons and to challenge ourselves as brewers. This beer was made utilizing a multi-step mash and a single decoction in the sudhaus. Then fermented with our house lager yeast, naturally carbonated using a spunding technique, then lagered sideways for 3 months. The resulting beer is a complex yet beautiful malt forward lager beer, looking forward to the completion of hot summer days and transitioning to cooler, darker nights. Drink fresh or store it cold and drink them as the days go by."
Baby Bock,Adams Street Brewery,"Illinois, United States",Bock,Not Given,4.6,Not Given,Not Given,3.59,0,1,0,0,None
Attention Required!,Cloudflare,Not Given,Not Given,Not Given,0.0,Not Given,Not Given,0.0,0,0,0,0,Not Given
H.E. Double Helles Bock,Angry Inch Brewing,"Minnesota, United States",Bock,Not Given,10.0,Not Given,Not Given,0.0,0,0,0,0,None
Aufsesser Bock Hell,Brauereigasthof Rothenbach Sonnenhof,Germany,Bock,Not Given,7.2,Not Given,Not Given,3.85,1,0,0,0,None
Flensburger Winterbock,Flensburger Brauerei,Germany,Bock,62,7.0,83,25771,3.63,36,29,1,4,None
Helles Bock,Waypost Brewing,"Michigan, United States",Bock,Not Given,7.5,Not Given,Not Given,3.75,0,1,0,0,"In the glass, this is the lightest and brightest of all the bock beers. Navigating deftly between a toast bread malt presence, noble hop spice and a refined lager character, this Helles Bock is about harmony in all its parts."
Krumpusbock,Odd Side Ales,"Michigan, United States",Bock,Not Given,7.2,Not Given,Not Given,3.85,0,1,0,0,None
Persha Avtorske,Persha Privatna Brovariya,Ukraine,Bock,Not Given,6.8,Not Given,Not Given,3.72,0,8,0,1,None
Flying Deutschmann,"Geo. Wiedemann Brewing Company, LLC","Ohio, United States",Bock,Not Given,7.0,Not Given,Not Given,3.96,2,0,0,1,None
BOCKman Turner Overdrive,Pulpit Rock Brewing Company,"Iowa, United States",Bock,Not Given,6.43,Not Given,Not Given,3.5,2,3,1,0,Aka B.T.O.A strong yet smooth amber lager that balances malty sweetness and hop bitterness. Not just for Lenten fasts!
Bock On!,True Vine Brewing Company,"Texas, United States",Bock,Not Given,6.5,Not Given,Not Given,0.0,0,0,0,0,None
Original Bock '96 Lager,Well 80 Brewhouse,"Washington, United States",Bock,Not Given,5.0,Not Given,Not Given,4.04,1,0,0,0,None
Norbertus Kardinal,Allgäuer Brauhaus AG,Germany,Bock,90,7.0,78,28843,3.15,4,11,1,11,None
Anniversary Bock,Adams Street Brewery,"Illinois, United States",Bock,Not Given,6.9,Not Given,Not Given,3.53,0,1,0,0,None
Spring Bock,Saint Arnold Brewing Company,"Texas, United States",Bock,64,6.9,82,26415,3.63,160,257,17,82,"An authentic, copper colored, German-style Bock, celebrating the coming of spring. This big, deeply flavored lager has been aged to create a smooth, malty taste with a hint of sweetness. A light addition of German hops balances the malt flavor."
Anghela,Birrificio Liquida,Italy,Bock,Not Given,6.5,Not Given,Not Given,3.44,1,1,0,0,None
Samson Bock,První Budějovický Pivovar Samson,Czech Republic,Bock,Not Given,6.1,Not Given,Not Given,3.93,2,2,0,0,"The recipe for this beer is inspired by the art of our brewers from the end of the 19th century and after years it is the first special of our brewery. What can you look forward to? Full-malted beer of deep golden color, higher alcohol content, fruit tones, delicate caramel taste, aromatic essential oils of quality Žatec hops."
Boc Dark,"Charlie's Steak, Ribs & Ale","Missouri, United States",Bock,Not Given,0.0,Not Given,Not Given,0.0,0,0,0,0,None
Forårsbuk,Hvide Sande Bryghus,Denmark,Bock,Not Given,6.7,Not Given,Not Given,3.59,0,1,0,0,None
Nörten-Hardenberger Bock,Martini Brauerei GmbH,Germany,Bock,Not Given,6.9,Not Given,Not Given,3.28,1,2,0,0,None
Motte,Naparbier Sdad. Coop.,Spain,Bock,Not Given,6.9,Not Given,Not Given,4.29,1,0,0,0,"Collaboration with Mahr's BräuHelles Bock using Tettnanger, Hallertauer, Hersbrucker."
Broegel Bock Beer,Brouwerij Martens NV,Belgium,Bock,Not Given,5.0,78,Not Given,3.33,26,24,2,14,None
Bocklash,Clandestine Brewing Company,"California, United States",Bock,Not Given,6.6,Not Given,Not Given,3.96,0,1,0,0,None
Bio Heller Bock,Liebhart's Privatbrauerei,Germany,Bock,Not Given,6.8,Not Given,Not Given,3.75,0,1,0,0,None
Satyr's Swill,Back Pew Brewing Company,"Texas, United States",Bock,66,7.2,83,25381,3.62,8,27,1,10,"A traditional German bock, this beer is high on the drinkability scale but also packs a punch with its higher gravity. This traditional German lager is on the sweeter side, with a crispness enjoyed by those who really know what lagers should taste like.22 IBU"
De Rode Toren Bock,Brouwerij De Leckere,Netherlands,Bock,88,6.5,79,28516,3.15,5,7,1,2,None
Glacier Bock,Backslope Brewing,"Montana, United States",Bock,Not Given,7.4,Not Given,Not Given,0.0,0,0,0,0,None
Sancti Adalberti Miraculum Novum,De Proefbrouwerij (bvba Andelot),Belgium,Bock,Not Given,6.5,Not Given,Not Given,0.0,0,0,0,0,None
Kwaremont Bok,De Brabandere,Belgium,Bock,Not Given,6.5,Not Given,Not Given,3.46,1,2,0,0,None
Anti-Brutoglossia,Trestle Brewing Company,"Ontario, Canada",Bock,Not Given,7.3,Not Given,Not Given,3.75,0,1,0,0,None
Mud Lake Dunkles Bock,Ronan Cooperative Brewery,"Montana, United States",Bock,Not Given,7.8,Not Given,Not Given,0.0,0,0,0,0,None
Bockaveli,MadTree Brewing,"Ohio, United States",Bock,Not Given,6.2,Not Given,Not Given,3.9,2,4,0,0,None
Boktoberfest Herfstbok,Dutchbag Brew Co.,"Illinois, United States",Bock,Not Given,6.66,Not Given,Not Given,3.96,1,2,0,0,"Herfstbok, or ""autumn bok"" in dutch, is a traditional fall beer of the Netherlands. Our yearly release of this festive fall beer is rich, chewy, & silky smooth w/ just enough bite to keep the goats happy."
Oaked Maibock,Block 15 Brewery & Restaurant,"Oregon, United States",Bock,Not Given,7.5,Not Given,Not Given,3.84,3,2,0,0,None
Piggy Bock,Rockingham Brewing Company,"New Hampshire, United States",Bock,Not Given,6.6,Not Given,Not Given,3.64,1,1,0,1,None
Spring Bock,Half Acre Beer Company,"Illinois, United States",Bock,Not Given,6.8,Not Given,Not Given,3.79,3,3,0,0,None
Ezz Bock,Cincy Brewing Company,"Ohio, United States",Bock,Not Given,8.8,Not Given,Not Given,3.25,1,0,0,0,None
Bock,Notch Brewing,"Massachusetts, United States",Bock,Not Given,6.0,Not Given,Not Given,4.22,0,2,0,0,"Double decocted, naturally carbonated, and conditioned in horizontal lagering tanks. There are several styles of bock, and this traditional bock is dark, malty with notes of bread pudding. Bick was historically produced for the springtime and associated with the religious festivals of Lent and Easter. Bock was also brewed by Bavarian monks to sustain them during their fasting."
Aass Bock,Aass Brewery,Norway,Bock,7,6.5,89,12085,3.99,41,26,46,4,None
I'll Be Bock,Haymarket Beer Co. Pub & Brewery,"Illinois, United States",Bock,Not Given,7.0,Not Given,Not Given,0.0,0,0,0,0,None
Christmas Bock,Mahr's Bräu,Germany,Bock,50,6.0,83,25135,3.68,180,69,13,5,None
Strong Bock,BackStory Brewery,"Texas, United States",Bock,Not Given,6.9,Not Given,Not Given,0.0,0,0,0,0,None
Winter Bockle,Fürst Wallerstein Brauhaus,Germany,Bock,Not Given,7.5,83,Not Given,3.51,7,9,1,2,None
Southern Tier - CLT Brew'd Bock,Brewers At 4001 Yancey,"North Carolina, United States",Bock,Not Given,6.2,Not Given,Not Given,3.86,0,1,0,0,"Holy Amber Waves of Grain, Batman! CLT Brew’d Bock is all about the toasty maltiness. Bread and light caramel sing up front and a balancing bitterness brings up the rear."
